date,year,doy365,mmdd,series,metric,value,is_placeholder
2020-02-01,2020,32,01-feb,Sopladora,Caudal (m³/s),102.676088625,0
2020-02-01,2020,32,01-feb,Sopladora,Cota (msnm),1315.9177246,0
2020-02-02,2020,33,02-feb,Cuenca del Rio Paute,Caudal (m³/s),91.49397083333334,0
2020-02-02,2020,33,02-feb,Mazar,Caudal (m³/s),58.82110128833333,0
2020-02-02,2020,33,02-feb,Mazar,Cota (msnm),2151.31,0
2020-02-02,2020,33,02-feb,Minas San Francisco,Caudal (m³/s),35.299392670833335,0
2020-02-02,2020,33,02-feb,Minas San Francisco,Cota (msnm),788.44,0
2020-02-02,2020,33,02-feb,Molino,Caudal (m³/s),126.95833333333331,0
2020-02-02,2020,33,02-feb,Molino,Cota (msnm),1984.788208,0
2020-02-02,2020,33,02-feb,Sopladora,Caudal (m³/s),122.65801452083332,0
2020-02-02,2020,33,02-feb,Sopladora,Cota (msnm),1315.5946045,0
2020-02-03,2020,34,03-feb,Cuenca del Rio Paute,Caudal (m³/s),85.96314166666667,0
2020-02-03,2020,34,03-feb,Mazar,Caudal (m³/s),53.97246500791667,0
2020-02-03,2020,34,03-feb,Mazar,Cota (msnm),2150.95,0
2020-02-03,2020,34,03-feb,Minas San Francisco,Caudal (m³/s),34.20841667916667,0
2020-02-03,2020,34,03-feb,Minas San Francisco,Cota (msnm),787.82,0
2020-02-03,2020,34,03-feb,Molino,Caudal (m³/s),118.25416666666666,0
2020-02-03,2020,34,03-feb,Molino,Cota (msnm),1984.8759766,0
2020-02-03,2020,34,03-feb,Sopladora,Caudal (m³/s),117.88177242916667,0
2020-02-03,2020,34,03-feb,Sopladora,Cota (msnm),1315.6506348,0
2020-02-04,2020,35,04-feb,Cuenca del Rio Paute,Caudal (m³/s),75.5513375,0
2020-02-04,2020,35,04-feb,Mazar,Caudal (m³/s),48.03199322541667,0
2020-02-04,2020,35,04-feb,Mazar,Cota (msnm),2150.52,0
2020-02-04,2020,35,04-feb,Minas San Francisco,Caudal (m³/s),32.324831333333336,0
2020-02-04,2020,35,04-feb,Minas San Francisco,Cota (msnm),787.16,0
2020-02-04,2020,35,04-feb,Molino,Caudal (m³/s),114.99583333333334,0
2020-02-04,2020,35,04-feb,Molino,Cota (msnm),1984.3907471,0
2020-02-04,2020,35,04-feb,Sopladora,Caudal (m³/s),127.61805245416669,0
2020-02-04,2020,35,04-feb,Sopladora,Cota (msnm),1316.0859375,0
2020-02-05,2020,36,05-feb,Cuenca del Rio Paute,Caudal (m³/s),62.94674166666667,0
2020-02-05,2020,36,05-feb,Mazar,Caudal (m³/s),39.10821251583333,0
2020-02-05,2020,36,05-feb,Mazar,Cota (msnm),2150.11,0
2020-02-05,2020,36,05-feb,Minas San Francisco,Caudal (m³/s),30.302159254166668,0
2020-02-05,2020,36,05-feb,Minas San Francisco,Cota (msnm),785.98,0
2020-02-05,2020,36,05-feb,Molino,Caudal (m³/s),104.19583333333334,0
2020-02-05,2020,36,05-feb,Molino,Cota (msnm),1983.5107422,0
2020-02-05,2020,36,05-feb,Sopladora,Caudal (m³/s),124.31335729583331,0
2020-02-05,2020,36,05-feb,Sopladora,Cota (msnm),1315.9970703,0
2020-02-06,2020,37,06-feb,Cuenca del Rio Paute,Caudal (m³/s),53.43545,0
2020-02-06,2020,37,06-feb,Mazar,Caudal (m³/s),31.44826359625,0
2020-02-06,2020,37,06-feb,Mazar,Cota (msnm),2149.48,0
2020-02-06,2020,37,06-feb,Minas San Francisco,Caudal (m³/s),27.1857466125,0
2020-02-06,2020,37,06-feb,Minas San Francisco,Cota (msnm),786.26,0
2020-02-06,2020,37,06-feb,Molino,Caudal (m³/s),109.525,0
2020-02-06,2020,37,06-feb,Molino,Cota (msnm),1982.682373,0
2020-02-06,2020,37,06-feb,Sopladora,Caudal (m³/s),132.29055099166666,0
2020-02-06,2020,37,06-feb,Sopladora,Cota (msnm),1315.203125,0
2020-02-07,2020,38,07-feb,Cuenca del Rio Paute,Caudal (m³/s),50.3801125,0
